Sat Sep 19 15:57:37 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_full_profile_repeated256_v2/profile/worker.pstats

         51645601 function calls (48919657 primitive calls) in 38.857 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
6087/5976    0.016    0.000    2.331    0.000 lowering.py:1244(lower_expr)
1925921/302056    1.775    0.000    2.277    0.000 ir.py:321(_rec_list_vars)
417846/376564    0.042    0.000    2.249    0.000 {built-in method builtins.hasattr}
    45215    1.780    0.000    2.231    0.000 ffi.py:210(__call__)
      5/1    0.000    0.000    2.086    2.086 __init__.py:76(__getattr__)
        1    0.000    0.000    2.085    2.085 timezonefinder.py:1(<module>)
7101/3575    0.011    0.000    2.011    0.001 functools.py:981(__get__)
   236980    0.243    0.000    2.003    0.000 ir.py:354(list_vars)
        5    0.000    0.000    1.938    0.388 utils.py:1(<module>)
        1    0.000    0.000    1.937    1.937 polygon_array.py:1(<module>)
        1    0.000    0.000    1.905    1.905 utils_numba.py:1(<module>)
      800    0.216    0.000    1.885    0.002 analysis.py:23(compute_use_defs)
      153    1.879    0.012    1.879    0.012 sky_compiled.py:305(_pixel_serial)
    58368    1.803    0.000    1.826    0.000 visibility_compiled.py:17(_decode)
       69    0.001    0.000    1.815    0.026 lowering.py:597(lower_setitem)
    35840    0.011    0.000    1.794    0.000 patch_radiation.py:273(<genexpr>)
       69    0.000    0.000    1.763    0.026 arrayobj.py:581(setitem_array)
        1    0.000    0.000    1.702    1.702 arrayobj.py:1943(fancy_setslice)
        1    0.000    0.000    1.698    1.698 arrayobj.py:1975(raise_shape_mismatch_error)
      728    0.001    0.000    1.687    0.002 postproc.py:42(usedefs)
  146/101    0.000    0.000    1.492    0.015 decorators.py:204(wrapper)
       72    0.001    0.000    1.472    0.020 codegen.py:748(finalize)
       24    0.002    0.000    1.470    0.061 persistence.py:419(checkpoint)
  663/537    0.000    0.000    1.459    0.003 codegen.py:567(_ensure_finalized)
       68    0.000    0.000    1.441    0.021 codegen.py:986(get_pointer_to_function)
       66    0.001    0.000    1.424    0.022 cpu.py:269(get_executable)
    19456    1.185    0.000    1.276    0.000 patch_radiation.py:144(_classes)
      158    0.002    0.000    1.273    0.008 codegen.py:732(add_ir_module)
   141365    1.076    0.000    1.266    0.000 engine.py:1704(_operate)
   183431    0.109    0.000    1.220    0.000 ir.py:611(list_vars)
        1    0.000    0.000    1.213    1.213 svf.py:63(save_svf_zip_npz_outputs)
        1    0.042    0.042    1.146    1.146 visibility.py:278(export_visibility_npz)
       91    0.014    0.000    1.123    0.012 interpreter.py:1365(interpret)
       89    0.000    0.000    1.121    0.013 untyped_passes.py:79(run_pass)
33956/27954    0.021    0.000    1.078    0.000 ir_utils.py:1459(guard)
1707/1697    0.020    0.000    1.036    0.001 lowering.py:742(lower_binop)
       14    0.000    0.000    1.031    0.074 engine.py:1722(shadowingfunction_wallheight_23)
       14    0.000    0.000    1.029    0.074 wall_shadows.py:177(exact_23)
    89/61    0.003    0.000    0.948    0.016 untyped_passes.py:1639(run_pass)
       72    0.001    0.000    0.941    0.013 codegen.py:792(_finalize_final_module)
      160    0.011    0.000    0.916    0.006 registry.py:54(apply)
10614684/10614682    0.712    0.000    0.911    0.000 {built-in method builtins.isinstance}
  781/780    0.001    0.000    0.842    0.001 <frozen importlib._bootstrap>:566(module_from_spec)
       69    0.001    0.000    0.840    0.012 typed_passes.py:228(run_pass)
     1876    0.002    0.000    0.831    0.000 newpassmanagers.py:120(run)
    87/86    0.000    0.000    0.831    0.010 <frozen importlib._bootstrap_external>:1231(create_module)
