Sat Sep 19 16:09:04 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_persistent_jit_experiment/small_v1/profile/worker.pstats

         17681082 function calls (16911465 primitive calls) in 7.658 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1351/1346    0.004    0.000    0.799    0.001 lowering.py:1244(lower_expr)
       50    0.001    0.000    0.790    0.016 codegen.py:748(finalize)
  264/173    0.000    0.000    0.783    0.005 codegen.py:567(_ensure_finalized)
       57    0.000    0.000    0.779    0.014 codegen.py:986(get_pointer_to_function)
       55    0.001    0.000    0.760    0.014 cpu.py:269(get_executable)
    35/32    0.000    0.000    0.686    0.021 templates.py:1083(_get_signature)
    26/24    0.000    0.000    0.686    0.029 functions.py:391(get_call_type)
    26/24    0.000    0.000    0.686    0.029 templates.py:1137(generic)
      101    0.001    0.000    0.672    0.007 codegen.py:732(add_ir_module)
       59    0.000    0.000    0.497    0.008 codegen.py:792(_finalize_final_module)
      489    0.005    0.000    0.496    0.001 postproc.py:71(run)
  704/453    0.001    0.000    0.482    0.001 base.py:261(refresh)
        9    0.000    0.000    0.439    0.049 caching.py:713(load_overload)
4764/2393    0.007    0.000    0.438    0.000 functools.py:981(__get__)
   125/80    0.000    0.000    0.436    0.005 decorators.py:204(wrapper)
        1    0.000    0.000    0.428    0.428 wbgt.py:1(<module>)
        1    0.000    0.000    0.428    0.428 decorators.py:128(wrap)
        2    0.000    0.000    0.427    0.214 dufunc.py:283(add)
        2    0.000    0.000    0.427    0.214 dufunc.py:336(_compile_for_argtys)
     1158    0.001    0.000    0.415    0.000 newpassmanagers.py:120(run)
       59    0.000    0.000    0.402    0.007 codegen.py:1007(_finalize_specific)
      704    0.008    0.000    0.393    0.001 cpu.py:102(load_additional_registries)
      101    0.000    0.000    0.387    0.004 codegen.py:741(add_llvm_module)
        2    0.000    0.000    0.383    0.191 ufuncbuilder.py:178(_compile_element_wise_function)
        2    0.000    0.000    0.382    0.191 ufuncbuilder.py:110(compile)
        2    0.000    0.000    0.382    0.191 ufuncbuilder.py:131(_compile_core)
471225/78018    0.282    0.000    0.380    0.000 ir.py:321(_rec_list_vars)
      101    0.004    0.000    0.373    0.004 codegen.py:653(_optimize_functions)
       46    0.000    0.000    0.363    0.008 lowering.py:286(create_cfunc_wrapper)
       46    0.001    0.000    0.363    0.008 cpu.py:237(create_cfunc_wrapper)
      162    0.000    0.000    0.362    0.002 codegen.py:1069(wrapper)
       59    0.000    0.000    0.360    0.006 executionengine.py:94(finalize_object)
      163    0.001    0.000    0.338    0.002 lowering.py:812(lower_getitem)
    62334    0.012    0.000    0.327    0.000 ir.py:354(list_vars)
    22114    0.007    0.000    0.314    0.000 targetconfig.py:197(values)
    22114    0.067    0.000    0.308    0.000 targetconfig.py:200(<dictcomp>)
      539    0.042    0.000    0.285    0.001 analysis.py:23(compute_use_defs)
826010/824985    0.112    0.000    0.285    0.000 {built-in method builtins.getattr}
     1152    0.003    0.000    0.278    0.000 patch_radiation.py:96(_block)
     1152    0.006    0.000    0.271    0.000 visibility_compiled.py:69(decode_block)
    87/71    0.000    0.000    0.262    0.004 <frozen importlib._bootstrap_external>:1239(exec_module)
    87/71    0.009    0.000    0.262    0.004 {built-in method _imp.exec_dynamic}
      489    0.000    0.000    0.246    0.001 postproc.py:42(usedefs)
2853931/2853929    0.179    0.000    0.244    0.000 {built-in method builtins.isinstance}
      864    0.000    0.000    0.244    0.000 patch_radiation.py:386(<genexpr>)
       50    0.000    0.000    0.242    0.005 codegen.py:667(_optimize_final_module)
       60    0.004    0.000    0.233    0.004 interpreter.py:1365(interpret)
      344    0.001    0.000    0.233    0.001 module.py:243(__repr__)
       58    0.000    0.000    0.231    0.004 untyped_passes.py:79(run_pass)
      344    0.001    0.000    0.230    0.001 module.py:217(_get_body_lines)
      344    0.001    0.000    0.229    0.001 module.py:222(<listcomp>)
        1    0.000    0.000    0.226    0.226 arraymath.py:1(<module>)
        1    0.000    0.000    0.225    0.225 __init__.py:25(swig_import_helper)
        2    0.000    0.000    0.224    0.112 _support_alternative_backends.py:1(<module>)
        1    0.000    0.000    0.222    0.222 arraymath.py:35(_check_blas)
        1    0.000    0.000    0.222    0.222 linalg.py:55(ensure_blas)
      429    0.005    0.000    0.221    0.001 lowering.py:742(lower_binop)
     1012    0.000    0.000    0.221    0.000 values.py:1017(__str__)
       24    0.001    0.000    0.219    0.009 persistence.py:419(checkpoint)
     1012    0.001    0.000    0.219    0.000 values.py:1010(descr)
    65852    0.045    0.000    0.215    0.000 event.py:209(broadcast)
213071/117223    0.060    0.000    0.214    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.209    0.104 datetime.py:1(<module>)
     1278    0.001    0.000    0.207    0.000 visibility_compiled.py:54(_descriptor)
      107    0.006    0.000    0.206    0.002 registry.py:54(apply)
        4    0.000    0.000    0.204    0.051 context.py:1(<module>)
105080/45836    0.028    0.000    0.197    0.000 _utils.py:44(__str__)
      111    0.000    0.000    0.196    0.002 values.py:1003(descr_body)
     2201    0.002    0.000    0.195    0.000 values.py:1176(descr)
      690    0.003    0.000    0.192    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
     2201    0.005    0.000    0.190    0.000 values.py:1178(<listcomp>)
    42723    0.010    0.000    0.190    0.000 ir.py:611(list_vars)
       58    0.001    0.000    0.186    0.003 untyped_passes.py:192(run_pass)
        1    0.000    0.000    0.183    0.183 engine.py:1(<module>)
        1    0.000    0.000    0.178    0.178 typeof.py:1(<module>)
   501138    0.122    0.000    0.177    0.000 targetconfig.py:111(getter)
    28689    0.024    0.000    0.177    0.000 instructions.py:13(__init__)
    29002    0.013    0.000    0.174    0.000 ffi.py:83(__exit__)
       57    0.000    0.000    0.173    0.003 untyped_passes.py:1755(run_pass)
  332/330    0.002    0.000    0.172    0.001 lowering.py:916(lower_call)
       47    0.000    0.000    0.170    0.004 typed_passes.py:228(run_pass)
    37219    0.016    0.000    0.170    0.000 values.py:537(__init__)
    29565    0.029    0.000    0.169    0.000 values.py:544(_to_string)
    32926    0.022    0.000    0.169    0.000 event.py:404(end_event)
   112457    0.093    0.000    0.165    0.000 engine.py:1704(_operate)
   173302    0.069    0.000    0.164    0.000 event.py:243(notify)
  318/316    0.002    0.000    0.164    0.001 lowering.py:1216(_lower_call_normal)
      206    0.002    0.000    0.164    0.001 arrayobj.py:431(basic_indexing)
    28994    0.008    0.000    0.159    0.000 base.py:1268(exit_fn)
     9613    0.007    0.000    0.157    0.000 targetconfig.py:188(__hash__)
125911/121487    0.022    0.000    0.157    0.000 {built-in method builtins.next}
     5512    0.006    0.000    0.152    0.000 targetconfig.py:191(__eq__)
    38306    0.089    0.000    0.152    0.000 values.py:557(_set_name)
      163    0.000    0.000    0.146    0.001 arrayobj.py:515(_getitem_array_generic)
     2586    0.004    0.000    0.145    0.000 npydecl.py:196(generic)
7481/6439    0.007    0.000    0.145    0.000 ir_utils.py:1459(guard)
    29002    0.013    0.000    0.139    0.000 ffi.py:77(__enter__)
     2622    0.010    0.000    0.138    0.000 npydecl.py:92(generic)
       72    0.000    0.000    0.135    0.002 arrayobj.py:556(getitem_array_tuple)
       14    0.000    0.000    0.132    0.009 ground_view.py:365(gvf_2018a)
       14    0.003    0.000    0.132    0.009 ground_view.py:268(_gvf)
        1    0.000    0.000    0.131    0.131 _ndimage_api.py:1(<module>)
    32926    0.021    0.000    0.131    0.000 event.py:390(start_event)
      690    0.001    0.000    0.128    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      252    0.016    0.000    0.127    0.001 ground_view.py:170(_sun)
       57    0.000    0.000    0.124    0.002 ssa.py:26(reconstruct_ssa)
       57    0.001    0.000    0.124    0.002 ssa.py:47(_run_ssa)
    28994    0.009    0.000    0.124    0.000 base.py:1265(enter_fn)
      489    0.001    0.000    0.119    0.000 postproc.py:52(deadmaps)
        5    0.000    0.000    0.118    0.024 lowering.py:273(create_cpython_wrapper)
        5    0.000    0.000    0.118    0.024 cpu.py:225(create_cpython_wrapper)
     7042    0.007    0.000    0.117    0.000 builder.py:974(extract_value)
        3    0.000    0.000    0.116    0.039 decorators.py:1(<module>)
    60/58    0.003    0.000    0.109    0.002 inline_closurecall.py:90(run)
      459    0.001    0.000    0.109    0.000 typedlist.py:341(append)
     1058    0.002    0.000    0.108    0.000 codegen.py:1249(_function_pass_manager)
  759/500    0.001    0.000    0.108    0.000 context.py:232(refresh)
      243    0.000    0.000    0.108    0.000 _docscrape.py:579(__init__)
     7042    0.006    0.000    0.106    0.000 instructions.py:693(__init__)
        1    0.000    0.000    0.105    0.105 stencil.py:1(<module>)
        1    0.000    0.000    0.105    0.105 _interpolation.py:1(<module>)
       58    0.000    0.000    0.104    0.002 untyped_passes.py:224(run_pass)
        1    0.000    0.000    0.104    0.104 __init__.py:129(__getattr__)
1610/1313    0.004    0.000    0.101    0.000 base.py:534(get_function)
     2004    0.099    0.000    0.099    0.000 {method 'read' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.096    0.032 typedlist.py:212(empty_list)
        3    0.000    0.000    0.096    0.032 typedlist.py:228(__init__)
        3    0.000    0.000    0.096    0.032 typedlist.py:270(_parse_arg)
    47103    0.022    0.000    0.096    0.000 ssa.py:206(_run_ssa_block_pass)
     1784    0.002    0.000    0.096    0.000 templates.py:279(_select)
     1554    0.001    0.000    0.095    0.000 templates.py:488(apply)
     1784    0.016    0.000    0.094    0.000 context.py:703(resolve_overload)
      243    0.001    0.000    0.093    0.000 _docscrape.py:140(__init__)
      172    0.001    0.000    0.093    0.001 _array_api.py:840(decorator)
      106    0.011    0.000    0.090    0.001 ssa.py:183(_run_block_rewrite)
       60    0.008    0.000    0.089    0.001 byteflow.py:86(run)
27726/25506    0.008    0.000    0.088    0.000 contextlib.py:132(__enter__)
     2640    0.028    0.000    0.086    0.000 numpy_support.py:356(ufunc_find_matching_loop)
     7873    0.028    0.000    0.084    0.000 utils.py:306(order_by_target_specificity)
      965    0.001    0.000    0.083    0.000 cgutils.py:684(unpack_tuple)
      965    0.001    0.000    0.082    0.000 cgutils.py:691(<listcomp>)
      489    0.003    0.000    0.082    0.000 postproc.py:46(livemap)
        1    0.000    0.000    0.081    0.081 _util.py:1(<module>)
        1    0.000    0.000    0.080    0.080 _array_api.py:1(<module>)
       24    0.000    0.000    0.080    0.003 persistence.py:154(save_state)
      491    0.001    0.000    0.079    0.000 analysis.py:60(compute_live_map)
   124314    0.048    0.000    0.079    0.000 engine.py:1692(_operands)
      403    0.002    0.000    0.079    0.000 cgutils.py:101(__init__)
     5944    0.004    0.000    0.078    0.000 module.py:220(__next__)
        3    0.000    0.000    0.076    0.025 arrayobj.py:4753(codegen)
