Sat Sep 19 16:15:40 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_persistent_jit_serial_variant/small_v1/profile/worker.pstats

         7157498 function calls (6854664 primitive calls) in 4.308 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    87/71    0.009    0.000    0.264    0.004 {built-in method _imp.exec_dynamic}
  931/919    0.001    0.000    0.261    0.000 lowering.py:666(lower_assign)
  496/491    0.001    0.000    0.248    0.001 lowering.py:1244(lower_expr)
      864    0.000    0.000    0.247    0.000 patch_radiation.py:386(<genexpr>)
        2    0.000    0.000    0.243    0.122 _support_alternative_backends.py:1(<module>)
    91/86    0.000    0.000    0.233    0.003 templates.py:756(_build_impl)
        1    0.000    0.000    0.231    0.231 arraymath.py:1(<module>)
    14/10    0.000    0.000    0.228    0.023 functions.py:535(get_call_type)
    14/10    0.000    0.000    0.228    0.023 dispatcher.py:302(get_call_template)
        1    0.000    0.000    0.225    0.225 arraymath.py:35(_check_blas)
        1    0.000    0.000    0.225    0.225 linalg.py:55(ensure_blas)
       24    0.001    0.000    0.216    0.009 persistence.py:419(checkpoint)
     1278    0.001    0.000    0.210    0.000 visibility_compiled.py:54(_descriptor)
      690    0.003    0.000    0.209    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
      103    0.002    0.000    0.208    0.002 postproc.py:71(run)
        1    0.000    0.000    0.202    0.202 engine.py:1(<module>)
      504    0.001    0.000    0.184    0.000 typeinfer.py:693(__call__)
 1009/512    0.002    0.000    0.177    0.000 functools.py:981(__get__)
       13    0.000    0.000    0.171    0.013 codegen.py:748(finalize)
   112457    0.096    0.000    0.167    0.000 engine.py:1704(_operate)
       25    0.000    0.000    0.165    0.007 codegen.py:732(add_ir_module)
    59/42    0.000    0.000    0.163    0.004 codegen.py:567(_ensure_finalized)
       22    0.000    0.000    0.159    0.007 codegen.py:986(get_pointer_to_function)
        1    0.000    0.000    0.149    0.149 _ndimage_api.py:1(<module>)
       14    0.000    0.000    0.146    0.010 engine.py:1736(Kside_veg_v2022a)
       14    0.011    0.001    0.146    0.010 patch_radiation.py:218(Kside_veg_v2022a)
176970/28684    0.107    0.000    0.145    0.000 ir.py:321(_rec_list_vars)
      690    0.001    0.000    0.144    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
       20    0.000    0.000    0.138    0.007 cpu.py:269(get_executable)
       14    0.000    0.000    0.134    0.010 ground_view.py:365(gvf_2018a)
       14    0.003    0.000    0.134    0.010 ground_view.py:268(_gvf)
      252    0.016    0.000    0.129    0.001 ground_view.py:170(_sun)
       24    0.000    0.000    0.125    0.005 codegen.py:792(_finalize_final_module)
    22829    0.005    0.000    0.123    0.000 ir.py:354(list_vars)
  380/376    0.000    0.000    0.122    0.000 base.py:1208(__call__)
  380/376    0.000    0.000    0.121    0.000 base.py:1237(wrapper)
        2    0.000    0.000    0.120    0.060 datetime.py:1(<module>)
        3    0.000    0.000    0.117    0.039 decorators.py:1(<module>)
        4    0.000    0.000    0.115    0.029 context.py:1(<module>)
     2008    0.112    0.000    0.112    0.000 {method 'read' of '_io.BufferedReader' objects}
      459    0.001    0.000    0.111    0.000 typedlist.py:341(append)
        6    0.000    0.000    0.111    0.018 templates.py:1083(_get_signature)
        4    0.000    0.000    0.111    0.028 functions.py:391(get_call_type)
        4    0.000    0.000    0.111    0.028 templates.py:1137(generic)
        1    0.000    0.000    0.110    0.110 _interpolation.py:1(<module>)
        1    0.000    0.000    0.110    0.110 __init__.py:129(__getattr__)
      243    0.000    0.000    0.109    0.000 _docscrape.py:579(__init__)
      113    0.016    0.000    0.109    0.001 analysis.py:23(compute_use_defs)
        1    0.000    0.000    0.105    0.105 stencil.py:1(<module>)
       24    0.000    0.000    0.103    0.004 codegen.py:1007(_finalize_specific)
      218    0.002    0.000    0.100    0.000 lowering.py:742(lower_binop)
        3    0.000    0.000    0.098    0.033 typedlist.py:212(empty_list)
        3    0.000    0.000    0.098    0.033 typedlist.py:228(__init__)
        3    0.000    0.000    0.098    0.033 typedlist.py:270(_parse_arg)
  120/118    0.001    0.000    0.095    0.001 lowering.py:916(lower_call)
      103    0.000    0.000    0.095    0.001 postproc.py:42(usedefs)
      243    0.001    0.000    0.095    0.000 _docscrape.py:140(__init__)
1118918/1118916    0.070    0.000    0.094    0.000 {built-in method builtins.isinstance}
      172    0.001    0.000    0.094    0.001 _array_api.py:840(decorator)
      126    0.000    0.000    0.094    0.001 codegen.py:1069(wrapper)
  116/114    0.001    0.000    0.093    0.001 lowering.py:1216(_lower_call_normal)
       24    0.000    0.000    0.093    0.004 executionengine.py:94(finalize_object)
       25    0.000    0.000    0.092    0.004 codegen.py:741(add_llvm_module)
       10    0.000    0.000    0.090    0.009 untyped_passes.py:1755(run_pass)
       25    0.001    0.000    0.089    0.004 codegen.py:653(_optimize_functions)
        1    0.000    0.000    0.088    0.088 typeof.py:1(<module>)
      310    0.000    0.000    0.087    0.000 newpassmanagers.py:120(run)
   351/92    0.000    0.000    0.086    0.001 context.py:232(refresh)
     1669    0.068    0.000    0.083    0.000 {built-in method io.open}
       13    0.000    0.000    0.082    0.006 untyped_passes.py:79(run_pass)
        1    0.000    0.000    0.081    0.081 _util.py:1(<module>)
       13    0.001    0.000    0.081    0.006 interpreter.py:1365(interpret)
        1    0.000    0.000    0.080    0.080 _array_api.py:1(<module>)
2691/2187    0.001    0.000    0.079    0.000 ir_utils.py:1459(guard)
   124314    0.048    0.000    0.079    0.000 engine.py:1692(_operands)
       13    0.000    0.000    0.077    0.006 untyped_passes.py:192(run_pass)
       26    0.001    0.000    0.076    0.003 persistence.py:324(_flush)
    15658    0.004    0.000    0.075    0.000 ir.py:611(list_vars)
       24    0.000    0.000    0.074    0.003 persistence.py:154(save_state)
       23    0.002    0.000    0.073    0.003 registry.py:54(apply)
        3    0.000    0.000    0.073    0.024 registry.py:1(<module>)
     1308    0.002    0.000    0.073    0.000 npydecl.py:196(generic)
        1    0.000    0.000    0.072    0.072 dispatcher.py:1(<module>)
       10    0.000    0.000    0.072    0.007 ssa.py:26(reconstruct_ssa)
       10    0.000    0.000    0.072    0.007 ssa.py:47(_run_ssa)
        1    0.000    0.000    0.070    0.070 arrayobj.py:4753(codegen)
      243    0.002    0.000    0.070    0.000 _docscrape.py:388(_parse)
     1340    0.005    0.000    0.070    0.000 npydecl.py:92(generic)
        1    0.000    0.000    0.069    0.069 arrayobj.py:4561(_empty_nd_impl)
        1    0.000    0.000    0.068    0.068 base.py:888(compile_internal)
        1    0.000    0.000    0.067    0.067 base.py:857(compile_subroutine)
      533    0.001    0.000    0.067    0.000 __init__.py:704(__getattr__)
        1    0.000    0.000    0.067    0.067 base.py:817(_compile_subroutine_no_cache)
    13/10    0.001    0.000    0.065    0.006 untyped_passes.py:284(run_pass)
       10    0.000    0.000    0.065    0.006 typed_passes.py:228(run_pass)
        1    0.000    0.000    0.062    0.062 compiler.py:806(compile_internal)
        3    0.000    0.000    0.062    0.021 _internal.py:56(clone_module)
      131    0.000    0.000    0.062    0.000 module.py:243(__repr__)
      131    0.000    0.000    0.061    0.000 module.py:217(_get_body_lines)
      131    0.000    0.000    0.060    0.000 module.py:222(<listcomp>)
       78    0.008    0.000    0.060    0.001 ssa.py:183(_run_block_rewrite)
        9    0.000    0.000    0.060    0.007 lowering.py:286(create_cfunc_wrapper)
        9    0.000    0.000    0.060    0.007 cpu.py:237(create_cfunc_wrapper)
        1    0.000    0.000    0.059    0.059 timezonefinder.py:1001(__init__)
       24    0.000    0.000    0.058    0.002 persistence.py:160(<dictcomp>)
        1    0.000    0.000    0.058    0.058 compiler.py:1(<module>)
      264    0.002    0.000    0.057    0.000 persistence.py:83(_encode)
      274    0.000    0.000    0.057    0.000 values.py:1017(__str__)
    32194    0.016    0.000    0.057    0.000 ssa.py:206(_run_ssa_block_pass)
57409/33658    0.017    0.000    0.057    0.000 {method 'format' of 'str' objects}
      274    0.000    0.000    0.057    0.000 values.py:1010(descr)
51837/50653    0.008    0.000    0.057    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.056    0.028 polygon_array.py:55(__init__)
     2142    0.007    0.000    0.056    0.000 visibility.py:254(__getitem__)
      690    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
2541/2531    0.018    0.000    0.053    0.000 {built-in method builtins.__build_class__}
25156/11507    0.007    0.000    0.053    0.000 _utils.py:44(__str__)
        1    0.000    0.000    0.052    0.052 <frozen runpy>:105(_get_module_details)
      690    0.052    0.000    0.052    0.000 {built-in method marshal.loads}
  141/123    0.000    0.000    0.052    0.000 untyped_passes.py:332(_do_work)
 3159/828    0.006    0.000    0.052    0.000 context.py:495(install_registry)
184367/183985    0.027    0.000    0.052    0.000 {built-in method builtins.getattr}
       34    0.000    0.000    0.051    0.002 values.py:1003(descr_body)
       13    0.001    0.000    0.051    0.004 inline_closurecall.py:90(run)
        3    0.000    0.000    0.051    0.017 inline_closurecall.py:493(inline_function)
      668    0.001    0.000    0.051    0.000 values.py:1176(descr)
      252    0.002    0.000    0.050    0.000 ground_view.py:141(_gather)
     2732    0.002    0.000    0.050    0.000 __init__.py:272(_compile)
      668    0.001    0.000    0.049    0.000 values.py:1178(<listcomp>)
      801    0.005    0.000    0.049    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        2    0.000    0.000    0.049    0.024 coord_accessors.py:244(create_coord_accessor)
        2    0.009    0.004    0.049    0.024 coord_accessors.py:96(__init__)
   351/92    0.001    0.000    0.048    0.001 context.py:482(_load_builtins)
      351    0.001    0.000    0.048    0.000 context.py:811(load_additional_registries)
        3    0.000    0.000    0.048    0.016 lowering.py:273(create_cpython_wrapper)
        3    0.000    0.000    0.048    0.016 cpu.py:225(create_cpython_wrapper)
      588    0.000    0.000    0.047    0.000 __init__.py:225(compile)
      172    0.001    0.000    0.046    0.000 _compiler.py:740(compile)
     4284    0.003    0.000    0.046    0.000 visibility_native.py:103(__getitem__)
      776    0.001    0.000    0.045    0.000 templates.py:279(_select)
        2    0.000    0.000    0.045    0.023 __config__.py:1(<module>)
      684    0.000    0.000    0.045    0.000 templates.py:488(apply)
     7501    0.008    0.000    0.045    0.000 values.py:544(_to_string)
      776    0.008    0.000    0.045    0.000 context.py:703(resolve_overload)
        2    0.000    0.000    0.044    0.022 config.py:1(<module>)
      103    0.000    0.000    0.044    0.000 postproc.py:52(deadmaps)
        2    0.000    0.000    0.044    0.022 _basic.py:1(<module>)
        1    0.000    0.000    0.044    0.044 _support_alternative_backends.py:871(<dictcomp>)
      275    0.001    0.000    0.044    0.000 templates.py:907(_get_target_registry)
       91    0.000    0.000    0.044    0.000 _support_alternative_backends.py:86(wrapper)
        1    0.000    0.000    0.043    0.043 __init__.py:13(_ensure_critical_deps)
     1356    0.014    0.000    0.043    0.000 numpy_support.py:356(ufunc_find_matching_loop)
        1    0.000    0.000    0.043    0.043 _pickle.py:1(<module>)
     2983    0.001    0.000    0.043    0.000 targetconfig.py:197(values)
      216    0.043    0.000    0.043    0.000 patch_radiation.py:288(_longwave)
      259    0.000    0.000    0.043    0.000 templates.py:1054(__init__)
     4284    0.002    0.000    0.042    0.000 visibility.py:145(__getitem__)
        2    0.000    0.000    0.042    0.021 ufuncbuilder.py:202(_build_element_wise_ufunc_wrapper)
     2983    0.009    0.000    0.042    0.000 targetconfig.py:200(<dictcomp>)
       24    0.000    0.000    0.042    0.002 persistence.py:414(write)
       39    0.000    0.000    0.041    0.001 ssa.py:83(_fix_ssa_vars)
      247    0.000    0.000    0.041    0.000 templates.py:1100(_init_once)
