Sat Sep 19 15:59:11 2026    /Users/alansynn/Workspace/solweig-light/reports/p7_profile_small_warmed_v1/profile/worker.pstats

         48063836 function calls (45337892 primitive calls) in 19.388 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  663/537    0.000    0.000    1.500    0.003 codegen.py:567(_ensure_finalized)
       68    0.000    0.000    1.482    0.022 codegen.py:986(get_pointer_to_function)
       66    0.001    0.000    1.465    0.022 cpu.py:269(get_executable)
      158    0.001    0.000    1.335    0.008 codegen.py:732(add_ir_module)
     1152    0.003    0.000    1.315    0.001 patch_radiation.py:96(_block)
     1152    0.006    0.000    1.309    0.001 visibility_compiled.py:69(decode_block)
   183431    0.096    0.000    1.185    0.000 ir.py:611(list_vars)
       14    0.000    0.000    1.120    0.080 engine.py:1736(Kside_veg_v2022a)
       14    0.011    0.001    1.120    0.080 patch_radiation.py:218(Kside_veg_v2022a)
  781/780    0.001    0.000    1.110    0.001 <frozen importlib._bootstrap>:566(module_from_spec)
    87/86    0.000    0.000    1.098    0.013 <frozen importlib._bootstrap_external>:1231(create_module)
    87/86    1.097    0.013    1.098    0.013 {built-in method _imp.create_dynamic}
33956/27954    0.016    0.000    1.080    0.000 ir_utils.py:1459(guard)
       91    0.015    0.000    1.066    0.012 interpreter.py:1365(interpret)
       89    0.000    0.000    1.065    0.012 untyped_passes.py:79(run_pass)
      864    0.000    0.000    1.026    0.001 patch_radiation.py:386(<genexpr>)
1707/1697    0.019    0.000    1.021    0.001 lowering.py:742(lower_binop)
       14    0.000    0.000    1.016    0.073 ground_view.py:365(gvf_2018a)
       14    0.003    0.000    1.016    0.073 ground_view.py:268(_gvf)
        1    0.000    0.000    1.013    1.013 geometry.py:287(get_or_create)
      252    0.016    0.000    1.011    0.004 ground_view.py:170(_sun)
       72    0.001    0.000    1.005    0.014 codegen.py:792(_finalize_final_module)
       14    0.000    0.000    0.983    0.070 engine.py:1722(shadowingfunction_wallheight_23)
       14    0.000    0.000    0.981    0.070 wall_shadows.py:177(exact_23)
        1    0.000    0.000    0.974    0.974 pipeline.py:180(produce_geometry)
        1    0.000    0.000    0.973    0.973 svf.py:163(svf_calculator_compact)
        1    0.019    0.019    0.973    0.973 svf.py:87(_calculate_svf)
    89/61    0.003    0.000    0.953    0.016 untyped_passes.py:1639(run_pass)
      252    0.002    0.000    0.934    0.004 ground_view.py:141(_gather)
      160    0.011    0.000    0.915    0.006 registry.py:54(apply)
     1876    0.002    0.000    0.886    0.000 newpassmanagers.py:120(run)
