Sat Sep 19 16:22:50 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_persistent_jit_distinct_variant/small_v1/profile/worker.pstats

         7198627 function calls (6895792 primitive calls) in 4.379 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1152    0.003    0.000    0.285    0.000 patch_radiation.py:96(_block)
        1    0.000    0.000    0.285    0.285 typeof.py:1(<module>)
     1152    0.006    0.000    0.278    0.000 visibility_compiled.py:69(decode_block)
  931/919    0.001    0.000    0.266    0.000 lowering.py:666(lower_assign)
  496/491    0.001    0.000    0.253    0.001 lowering.py:1244(lower_expr)
      864    0.000    0.000    0.250    0.000 patch_radiation.py:491(<genexpr>)
        1    0.000    0.000    0.246    0.246 __init__.py:25(swig_import_helper)
    91/86    0.000    0.000    0.244    0.003 templates.py:756(_build_impl)
        2    0.000    0.000    0.238    0.119 _support_alternative_backends.py:1(<module>)
    14/10    0.000    0.000    0.237    0.024 functions.py:535(get_call_type)
    14/10    0.000    0.000    0.237    0.024 dispatcher.py:302(get_call_template)
        1    0.000    0.000    0.235    0.235 arraymath.py:1(<module>)
        1    0.000    0.000    0.230    0.230 arraymath.py:35(_check_blas)
        1    0.000    0.000    0.230    0.230 linalg.py:55(ensure_blas)
      504    0.001    0.000    0.221    0.000 typeinfer.py:693(__call__)
       24    0.001    0.000    0.220    0.009 persistence.py:419(checkpoint)
     1278    0.001    0.000    0.212    0.000 visibility_compiled.py:54(_descriptor)
      103    0.002    0.000    0.212    0.002 postproc.py:71(run)
      690    0.003    0.000    0.207    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.197    0.197 engine.py:1(<module>)
 1009/512    0.002    0.000    0.180    0.000 functools.py:981(__get__)
       13    0.000    0.000    0.169    0.013 codegen.py:748(finalize)
       25    0.000    0.000    0.168    0.007 codegen.py:732(add_ir_module)
   112457    0.094    0.000    0.166    0.000 engine.py:1704(_operate)
    59/42    0.000    0.000    0.162    0.004 codegen.py:567(_ensure_finalized)
       22    0.000    0.000    0.158    0.007 codegen.py:986(get_pointer_to_function)
       14    0.000    0.000    0.150    0.011 engine.py:1736(Kside_veg_v2022a)
       14    0.011    0.001    0.150    0.011 patch_radiation.py:262(Kside_veg_v2022a)
176970/28684    0.105    0.000    0.145    0.000 ir.py:321(_rec_list_vars)
        1    0.000    0.000    0.143    0.143 _ndimage_api.py:1(<module>)
      690    0.001    0.000    0.139    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
       20    0.000    0.000    0.136    0.007 cpu.py:269(get_executable)
        1    0.000    0.000    0.133    0.133 _pickle.py:1(<module>)
       14    0.000    0.000    0.132    0.009 ground_view.py:365(gvf_2018a)
       14    0.003    0.000    0.132    0.009 ground_view.py:268(_gvf)
        3    0.000    0.000    0.131    0.044 decorators.py:1(<module>)
      252    0.016    0.000    0.127    0.001 ground_view.py:170(_sun)
  380/376    0.000    0.000    0.127    0.000 base.py:1208(__call__)
  380/376    0.000    0.000    0.126    0.000 base.py:1237(wrapper)
